Entity,IncomeLevel,Code,Year,Prevalence - Neoplasms -Percent, GNI , Number of people with mental disorder prevalence ,working hours,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Pollution Index,Climate Index,CT_Scanners,old%,Current health expenditure per capita (current US$)
Portugal,High income,PRT,2017,1.761483237," 332,380,808,701.93 "," 1,959,440.00 ",1863.17,178.43,62.72,64.61,70.31,49.19,8.85,28.91,92.19,,0.386614498,1998.064697
Russia,Upper middle income,RUS,2017,1.754436206," 3,705,398,029,006.68 "," 16,564,505.00 ",1974,85.93,48.27,53.95,56.4,42.01,13.55,63.04,10.69,13,0.279125755,579.6721802
Hungary,High income,HUN,2017,1.7429261," 277,075,100,464.57 "," 1,148,180.00 ",1937.33,138.82,47.52,61.61,53.46,42.77,11.2,43.99,66.49,9.19,0.377373128,985.7990112
Bulgaria,Upper middle income,BGR,2017,1.659590404," 148,500,455,903.38 "," 818,325.00 ",1643.55,138.2,51.4,59.82,54.03,36.49,9.07,63.12,77.05,,0.384027981,624.5250244
Poland,High income,POL,2017,1.635208395," 1,094,324,390,849.85 "," 4,010,522.00 ",2028.5,150.21,71.75,68.47,61.46,38.15,10.12,50.33,62.53,16.88,0.335193238,909.578186
Romania,High income,ROU,2017,1.633056952," 524,121,724,364.66 "," 2,225,513.00 ",1806,143.04,53.44,72.05,53.11,35.63,10.79,50.9,64.45,,0.326799568,555.1130981
Ukraine,Lower middle income,UKR,2017,1.602203378," 511,217,276,081.94 "," 5,694,252.00 ",,87.49,26.93,48.73,49.81,26.22,22.87,67.26,49.94,,0.319915879,187.3952179
Belarus,Upper middle income,BLR,2017,1.574580899," 167,108,190,268.28 "," 1,226,154.00 ",,119.23,36.43,77.74,53.76,33.84,18.73,39.64,20.07,,0.292999155,333.5410767
China,Upper middle income,CHN,2017,1.454289027," 19,860,975,136,046.60 "," 159,422,086.00 ",2174.35,90.95,67.84,66.1,62.25,44.76,23.29,88.96,38.7,,0.216646967,437.2567444
Israel,High income,ISR,2017,1.452405519," 339,159,216,533.17 "," 1,194,618.00 ",1920.61,157.88,94.47,70.99,74.78,77.74,10.87,61.71,81.01,9.53,0.226637479,3118.433594
North Macedonia,Upper middle income,MKD,2017,1.422487622," 31,292,965,162.30 "," 247,777.00 ",,116.42,39.85,61.34,63.46,30.93,14.67,83.38,75.54,,,358.3068848
Bosnia and Herzegovina,Upper middle income,BIH,2017,1.280815425," 45,709,579,110.43 "," 403,417.00 ",,139.14,51.29,59.03,61.49,35.05,11.35,60.69,73.29,,0.287143658,482.1771545
Chile,High income,CHL,2017,1.237788506," 433,363,834,230.27 "," 2,643,142.00 ",1974,136.2,61.28,52.5,60.97,50.09,10.67,67.67,89.39,,0.215669459,1360.173584
Argentina,Upper middle income,ARG,2017,1.176868831," 1,012,802,784,987.51 "," 5,744,791.00 ",1691.54,139.59,58.4,37.37,73.3,52.57,12.07,53.33,90.67,,0.232036402,1529.670044
Qatar,High income,QAT,2017,0.998635471," 249,312,147,644.14 "," 378,654.00 ",,132.37,111.28,84.3,66.14,69.2,6.19,73.29,9.26,,0.023999955,1760.478882
Turkey,Upper middle income,TUR,2017,0.95246871," 2,234,852,455,454.55 "," 11,735,291.00 ",1832,129.63,55.64,58.91,71.68,38.6,8.87,70.46,73.19,14.77,0.150750641,442.6176148
United Arab Emirates,High income,ARE,2017,0.930793187," 641,975,592,252.71 "," 1,237,869.00 ",,139.27,116.77,79.34,60.49,67.98,5.6,58.52,8.86,,0.022624461,1650.018555
Saudi Arabia,High income,SAU,2017,0.908721275," 1,590,219,660,724.01 "," 4,807,117.00 ",,146.41,138.05,76.35,60.41,48.37,2.85,74.18,17.96,,0.069283071,1302.768555
Mexico,Upper middle income,MEX,2017,0.894715491," 2,396,875,000,224.39 "," 14,427,103.00 ",2255,129.06,60.08,49.68,70.11,29.81,6.94,66.74,60.74,,0.141476534,506.892334
Colombia,Upper middle income,COL,2017,0.875953763," 681,250,506,662.52 "," 5,527,347.00 ",1997.75,115.38,37.63,48.31,65.79,34.45,19.43,63.9,81.34,,0.148543452,489.6445923
Iran,Lower middle income,IRN,2017,0.863271746," 1,282,944,257,114.51 "," 15,569,360.00 ",,97.17,43.18,49.1,51.55,38.26,13.5,82.51,71.48,,0.110993998,481.5763855
Malaysia,Upper middle income,MYS,2017,0.783179443," 805,935,510,019.48 "," 3,616,001.00 ",2238.27,51.65,73.34,35.25,65.99,40.24,9.53,67.08,-79.43,,0.122021254,380.0152283
Brazil,Upper middle income,BRA,2017,0.775327051," 2,955,553,341,209.78 "," 35,626,365.00 ",1709.49,96.15,42.38,29.38,51.7,53.07,16.96,61.17,70.76,,0.166236139,940.369751
Jordan,Upper middle income,JOR,2017,0.704068038," 97,405,588,150.94 "," 1,496,536.00 ",,117.47,42.27,56.86,71.92,59.22,7.96,85.73,88.42,,0.079701535,337.7554016
Thailand,Upper middle income,THA,2017,0.629747052," 1,151,820,944,657.23 "," 8,658,256.00 ",2185.45,57.21,34.28,50.22,80.66,43.71,24.43,73.23,-20.21,,0.211181422,253.4068298
Vietnam,Lower middle income,VNM,2017,0.603065672," 799,652,388,708.50 "," 9,064,990.00 ",2169.59,36.12,24.77,47.04,47.87,40.11,26.76,88.1,-12.87,,0.122413131,140.165329
Pakistan,Lower middle income,PAK,2017,0.597205025," 1,042,822,782,433.41 "," 24,174,203.00 ",2096.14,93.41,39.95,45.62,59.05,27.18,12.09,80.08,42.54,,0.089748023,42.25715637
Philippines,Lower middle income,PHL,2017,0.593539368," 948,319,217,869.22 "," 12,109,063.00 ",2148.56,56.87,36,60.23,69.16,34.71,16.91,70.25,-44.1,,0.089828249,123.6938324
South Africa,Upper middle income,ZAF,2017,0.556269555," 768,262,732,572.04 "," 6,377,252.00 ",,144.72,98.96,24.28,61.72,43.12,3.58,63.56,88.74,,0.113518559,534.3883667
Egypt,Lower middle income,EGY,2017,0.543731123," 1,041,678,981,890.30 "," 13,124,899.00 ",,91.81,29.39,47.14,43.73,22.36,10.66,88.88,75.59,,0.084405647,113.9753799
Sri Lanka,Lower middle income,LKA,2017,0.537432573," 262,709,274,806.97 "," 2,453,265.00 ",,88.99,30.28,65.43,80.04,33.47,17.49,61.9,2.4,,0.192742229,148.78862
Indonesia,Lower middle income,IDN,2017,0.426835825," 2,802,422,575,187.42 "," 26,928,883.00 ",2024.29,62.02,27.61,50.32,64.8,41.11,21.03,76.41,9.62,,0.140156078,111.4498673
India,Lower middle income,IND,2017,0.312306273," 8,187,427,038,374.48 "," 184,811,945.00 ",2117.01,101.52,76.73,56.04,69.18,25.08,10.28,76.53,9.3,,0.125134936,57.55659103
